metric,group,rank,player,team,win_rate
PBWR,OT,1,Dion Dawkins,BUF,96
PBWR,OT,2,Roger Rosengarten,BAL,96
PBWR,OT,3,Tristan Wirfs,TB,96
PBWR,OT,4,Darnell Wright,CHI,95
PBWR,OT,5,Ronnie Stanley,BAL,95
PBWR,OT,6,Zach Tom,GB,95
PBWR,OT,7,Jawaan Taylor,KC,95
PBWR,OT,8,Andrew Thomas,NYG,94
PBWR,OT,9,Garett Bolles,DEN,94
PBWR,OT,10,Spencer Brown,BUF,94
PBWR,OT,11,Rasheed Walker,GB,94
PBWR,OT,12,Warren McClendon Jr,LAR,94
PBWR,OT,13,Charles Cross,SEA,94
PBWR,OT,14,Mike McGlinchey,DEN,93
PBWR,OT,15,Brian O'Neill,MIN,93
PBWR,OT,16,Jake Matthews,ATL,93
PBWR,OT,17,Troy Fautanu,PIT,93
PBWR,OT,18,Alaric Jackson,LAR,92
PBWR,OT,19,Taylor Moton,CAR,92
PBWR,OT,20,Trent Williams,SF,92
PBWR,IOL,1,Creed Humphrey,KC,98
PBWR,IOL,2,Joe Thuney,CHI,98
PBWR,IOL,3,Isaac Seumalo,PIT,97
PBWR,IOL,4,Tyler Linderbaum,BAL,97
PBWR,IOL,5,Connor McGovern,BUF,97
PBWR,IOL,6,Joel Bitonio,CLE,96
PBWR,IOL,7,Peter Skoronski,TEN,96
PBWR,IOL,8,Drew Dalman,CHI,96
PBWR,IOL,9,Aaron Brewer,MIA,96
PBWR,IOL,10,Mike Jordan,TB,96
PBWR,IOL,11,Zach Frazier,PIT,96
PBWR,IOL,12,Jonah Jackson,CHI,96
PBWR,IOL,13,Josh Myers,NYJ,96
PBWR,IOL,14,Quenton Nelson,IND,95
PBWR,IOL,15,Ryan Neuzil,ATL,95
PBWR,IOL,16,Chris Paul,WAS,95
PBWR,IOL,17,Jake Brendel,SF,95
PBWR,IOL,18,Luke Fortner,NO,95
PBWR,IOL,19,Dylan Parham,LV,95
PBWR,IOL,20,Mike Onwenu,NE,95
RBWR,OT,1,Christian Darrisaw,MIN,84
RBWR,OT,2,Warren McClendon Jr,LAR,82
RBWR,OT,3,Bernhard Raimann,IND,81
RBWR,OT,4,Theo Benedet,CHI,81
RBWR,OT,5,Alaric Jackson,LAR,80
RBWR,OT,6,Trent Williams,SF,80
RBWR,OT,7,Morgan Moses,NE,79
RBWR,OT,8,Orlando Brown Jr,CIN,79
RBWR,OT,9,Armand Membou,NYJ,79
RBWR,OT,10,Brian O'Neill,MIN,79
RBWR,IOL,1,Grey Zabel,SEA,83
RBWR,IOL,2,Zion Johnson,LAC,79
RBWR,IOL,3,Joe Thuney,CHI,77
RBWR,IOL,4,Isaac Seumalo,PIT,77
RBWR,IOL,5,Donovan Jackson,MIN,77
RBWR,IOL,6,Isaiah Adams,ARI,76
RBWR,IOL,7,Quinn Meinerz,DEN,76
RBWR,IOL,8,Tyler Booker,DAL,75
RBWR,IOL,9,Alex Palczewski,DEN,75
RBWR,IOL,10,David Edwards,BUF,75
